stop_id,short_stop_id,stop_name,stop_lat,stop_lon
8250DB007556,7556,Abberley,53.24804398,-6.123154034
8250DB004086,4086,"Enniskerry Rd, Garden Centre",53.22847105,-6.1854988
8220DB000131,131,"Glasnevin North, Glasnevin Avenue (Beneavin Drive)",53.39038589,-6.278349237
8230DB002554,2554,"Tallaght, Glenview Park",53.28904029,-6.339486368
8220DB001806,1806,"Cabra, Navan Road",53.36290691,-6.302642142
8220DB003952,3952,"Dolphins Barn, Crumlin Road",53.33168395,-6.294557992
8220DB000378,378,"Sandymount, Sandymount Tower",53.32565029,-6.207334472
8250DB002080,2080,"Mount Merrion, North Avenue (Greenfield Road)",53.29802784,-6.211417284
8250DB002083,2083,"Belfield, Fosters Avenue (Stillorgan Road)",53.30333022,-6.20957512
8220DB007435,7435,"Islandbridge, Memorial Gardens gate",53.34317893,-6.315380836
8250DB002084,2084,"Belfield, Seafiled Road",53.30552676,-6.21159902
8220DB007430,7430,Griffith Avenue Extension,53.37986768,-6.280066365
8220DB007431,7431,Griffith Avenue Extension,53.37972915,-6.279185078
8220DB000371,371,"Irishtown (Dublin City), Irishtown Gospel Hall",53.33861278,-6.223054583
8220DB000372,372,"Sandymount, Star Of The Sea Church",53.33542348,-6.219538235
8220DB000373,373,"Sandymount, Farney Park",53.33427533,-6.217889273
8220DB000374,374,"Sandymount, Sandymount Road",53.33316623,-6.216448984
8220DB000375,375,"Sandymount, Seafort Avenue",53.33406113,-6.214384513
8220DB000376,376,"Sandymount, Strand Road (Lea Road)",53.33071253,-6.209254265
8220DB000377,377,"Sandymount, Strand Road (Gilford Road)",53.32872893,-6.208841895
8220DB001175,1175,"Dublin, Upper Gardiner Street",53.35853238,-6.261003595
8220DB001174,1174,"Summerhill (Dublin City), Mountjoy Square Park",53.35618658,-6.258545125
8220DB001177,1177,"Priorswood, Sports Grounds (Opposite)",53.40089736,-6.225257483
8220DB001176,1176,"Priorswood, Sports Grounds",53.39935505,-6.221877803
8220DB001171,1171,"Dublin, Lower Gardiner Street",53.35031769,-6.254262949
8220DB001170,1170,"Rathmines, Rathgar Road (Lower Rathmines Road)",53.32168955,-6.266525249
8220DB001173,1173,"Summerhill (Dublin City), Gardiner Street Lower",53.35370557,-6.256678323
8220DB001172,1172,"Summerhill (Dublin City), Lower Gardiner Street",53.35174335,-6.255256217
8220DB004455,4455,"Ballsbridge, Ailesbury Road",53.32065485,-6.214058696
8220DB004456,4456,"Dublin City South, Aungier Street Church",53.3399144,-6.265695957
8220DB001179,1179,"Priorswood, Clonsaugh Und.Est, Business Park",53.39993115,-6.218921183
8220DB001178,1178,"Priorswood, Business Park",53.40345341,-6.218849243
8220DB004525,4525,"Cabra, Ashington Park",53.37344814,-6.311390924
8220DB004524,4524,"Cabra, Priory Estate",53.3716761,-6.315744228
8250DB003040,3040,"Monkstown, Monkstown Church",53.29382372,-6.154361374
8220DB004526,4526,"Cabra, Priory Estate",53.37211889,-6.315275889
8220DB004521,4521,College Green,53.34430106,-6.260171051
8250DB003047,3047,"Dun Laoghaire, Upper George's Street",53.29017029,-6.131013039
8220DB004523,4523,"Cabra, Kinvara Avenue",53.36914632,-6.317361855
8220DB004522,4522,College Green,53.34426249,-6.26060818
8250DB002067,2067,"Stillorgan, Old Stillorgan Road (Woodlands Ave)",53.29186106,-6.201204263
8250DB002066,2066,"Stillorgan, Shopping Centre",53.2900383,-6.199540809
8250DB002065,2065,"Stillorgan, Stillorgan Road",53.28479921,-6.19485659
8250DB002064,2064,"Galloping Green, Stillorgan Road",53.28272564,-6.193849161
8250DB002063,2063,"Galloping Green, Galloping Green",53.28029401,-6.189977519
8220DB004528,4528,"Kelly's Corner, Lower Rathmines Road",53.32889608,-6.26453649
8250DB002061,2061,"Foxrock, Knocksinna Estate",53.2757586,-6.18018225
8250DB002060,2060,"Cornelscourt, Springfield Park",53.27395494,-6.175085679
8240DB005156,5156,"Baldoyle, Tom Walsh Motors",53.39743669,-6.146000038
8250DB003510,3510,"Glencullen, Granite Cottages",53.22101161,-6.225546036
8220DB000194,194,"Phibsborough, Saint Dominic's Youth Club",53.35504065,-6.269979311
