LINEID,ROUTEID,STOPPOINTID,PROGRNUMBER
1,1_40,381,1
1,1_37,226,1
1,1_39,226,1
1,1_41,381,1
1,1_38,265,1
1,1_40,382,2
1,1_37,228,2
1,1_39,228,2
1,1_41,382,2
1,1_38,271,2
1,1_40,4451,3
1,1_37,229,3
1,1_39,229,3
1,1_41,4451,3
1,1_38,340,3
1,1_40,383,4
1,1_37,227,4
1,1_39,227,4
1,1_41,383,4
1,1_38,350,4
1,1_40,384,5
1,1_37,230,5
1,1_39,230,5
1,1_41,384,5
1,1_38,351,5
1,1_40,385,6
1,1_37,231,6
1,1_39,231,6
1,1_41,385,6
1,1_38,352,6
1,1_40,387,7
1,1_37,1641,7
1,1_39,1641,7
1,1_41,387,7
1,1_38,353,7
1,1_40,388,8
1,1_37,1642,8
1,1_39,1642,8
1,1_41,388,8
1,1_38,354,8
1,1_40,389,9
1,1_37,213,9
1,1_39,213,9
1,1_38,355,9
1,1_41,389,9
1,1_40,393,10
1,1_37,214,10
1,1_39,214,10
1,1_41,393,10
1,1_38,356,10
1,1_40,371,11
1,1_37,4432,11
1,1_39,4432,11
1,1_41,371,11
1,1_38,357,11
1,1_40,391,12
1,1_37,119,12
1,1_39,119,12
1,1_41,391,12
1,1_38,390,12
1,1_40,392,13
1,1_37,44,13
1,1_39,44,13
1,1_41,392,13
1,1_38,372,13
1,1_40,395,14
1,1_37,7603,14
1,1_39,7603,14
1,1_41,395,14
1,1_38,373,14
1,1_40,396,15
1,1_37,45,15
1,1_39,45,15
1,1_41,396,15
1,1_38,374,15
1,1_40,397,16
1,1_37,46,16
1,1_39,46,16
1,1_41,397,16
1,1_38,375,16
1,1_40,398,17
1,1_37,47,17
1,1_39,47,17
1,1_41,398,17
1,1_38,2804,17
1,1_40,399,18
1,1_37,48,18
1,1_39,48,18
1,1_41,399,18
1,1_38,376,18
1,1_40,400,19
1,1_37,49,19
1,1_39,49,19
1,1_41,400,19
1,1_38,377,19
1,1_40,319,20
1,1_37,51,20
1,1_39,51,20
1,1_41,319,20
1,1_38,378,20
1,1_40,278,21
1,1_37,52,21
1,1_39,52,21
1,1_38,380,21
1,1_41,278,21
1,1_40,7615,22
1,1_37,265,22
1,1_39,265,22
1,1_41,7615,22
1,1_40,10,23
1,1_37,271,23
1,1_39,271,23
1,1_40,12,24
1,1_37,340,24
1,1_40,14,25
1,1_37,350,25
1,1_40,15,26
1,1_37,351,26
1,1_40,17,27
1,1_37,352,27
1,1_40,18,28
1,1_37,353,28
1,1_40,19,29
1,1_37,354,29
1,1_40,21,30
1,1_37,355,30
1,1_40,7602,31
1,1_37,356,31
1,1_40,85,32
1,1_37,357,32
1,1_40,203,33
1,1_37,390,33
1,1_40,204,34
1,1_37,372,34
1,1_40,205,35
1,1_37,373,35
1,1_40,1620,36
1,1_37,374,36
1,1_40,220,37
1,1_37,375,37
1,1_40,221,38
1,1_37,2804,38
1,1_40,222,39
1,1_37,376,39
1,1_40,223,40
1,1_37,377,40
1,1_40,224,41
1,1_37,378,41
1,1_40,225,42
1,1_37,380,42
1,1_40,226,43
102,102_9,7348,1
102,102_10,1073,1
102,102_9,3669,2
102,102_10,3641,2
102,102_9,3671,3
102,102_10,3642,3
102,102_9,3672,4
102,102_8,913,4
102,102_10,3643,4
102,102_8,914,5
102,102_10,3583,5
102,102_9,3087,6
102,102_8,938,6
102,102_10,3584,6
102,102_9,6033,7
102,102_8,940,7
102,102_10,3585,7
102,102_9,3089,8
102,102_8,941,8
102,102_10,3586,8
102,102_9,3090,9
102,102_8,942,9
102,102_10,3587,9
102,102_9,3706,10
102,102_8,943,10
102,102_10,3588,10
102,102_9,3707,11
102,102_8,4503,11
102,102_10,3590,11
102,102_9,3708,12
102,102_8,3599,12
102,102_10,3589,12
102,102_9,3709,13
102,102_8,3610,13
102,102_10,3591,13
102,102_9,3710,14
102,102_8,3611,14
102,102_10,3592,14
102,102_9,4925,15
102,102_8,6135,15
102,102_10,3605,15
102,102_9,4926,16
102,102_8,3612,16
102,102_10,3606,16
102,102_9,3678,17
102,102_8,3613,17
102,102_10,3607,17
102,102_9,6117,18
102,102_8,3615,18
102,102_10,3608,18
102,102_9,1041,19
102,102_8,3616,19
102,102_10,3609,19
102,102_9,1050,20
102,102_8,3618,20
102,102_10,3598,20
102,102_9,3656,21
102,102_8,3619,21
102,102_10,4465,21
102,102_8,3620,22
102,102_9,3653,22
102,102_10,944,22
102,102_9,6055,23
102,102_8,3622,23
102,102_10,945,23
102,102_9,1073,24
102,102_8,3623,24
102,102_10,947,24
102,102_9,3641,25
102,102_8,4387,25
102,102_10,948,25
102,102_9,3642,26
102,102_8,3634,26
102,102_10,949,26
102,102_9,3643,27
102,102_8,3635,27
102,102_10,928,27
102,102_9,3583,28
102,102_8,3636,28
102,102_10,951,28
102,102_9,3584,29
102,102_8,905,29
102,102_10,952,29
102,102_9,3585,30
102,102_8,4331,30
102,102_10,953,30
102,102_9,3586,31
102,102_8,3641,31
102,102_10,4381,31
102,102_9,3587,32
102,102_8,4339,32
102,102_9,3588,33
102,102_8,6010,33
102,102_9,3590,34
102,102_8,3656,34
102,102_9,3589,35
102,102_8,3653,35
102,102_9,3591,36
102,102_8,1039,36
102,102_9,3592,37
102,102_8,1040,37
102,102_9,3605,38
102,102_8,6054,38
102,102_9,3606,39
102,102_8,4330,39
102,102_9,3607,40
102,102_8,3691,40
102,102_9,3608,41
102,102_8,3572,41
102,102_9,3609,42
102,102_8,3701,42
102,102_9,3598,43
102,102_8,3702,43
102,102_9,4465,44
102,102_8,3088,44
102,102_9,944,45
102,102_8,3704,45
102,102_9,945,46
102,102_8,3705,46
102,102_9,947,47
102,102_8,733,47
102,102_9,948,48
102,102_8,6015,48
102,102_9,949,49
102,102_8,788,49
102,102_9,928,50
102,102_8,815,50
102,102_9,951,51
102,102_8,816,51
102,102_9,952,52
102,102_8,3663,52
102,102_8,7348,53
102,102_9,953,53
102,102_9,4381,54
104,104_15,1730,1
104,104_16,7571,1
104,104_15,1731,2
104,104_16,1644,2
104,104_15,1732,3
104,104_16,1605,3
104,104_15,1733,4
104,104_16,228,4
104,104_16,229,5
104,104_15,1650,5
104,104_15,1652,6
104,104_16,227,6
104,104_15,5141,7
104,104_16,230,7
104,104_15,1773,8
104,104_16,231,8
104,104_15,1774,9
104,104_16,232,9
104,104_15,1651,10
104,104_16,233,10
104,104_15,4784,11
104,104_16,242,11
104,104_15,608,12
104,104_16,243,12
104,104_15,4791,13
104,104_16,253,13
104,104_15,4792,14
104,104_16,244,14
104,104_16,245,15
104,104_15,662,15
104,104_16,4474,16
104,104_15,663,16
104,104_15,1196,17
104,104_16,4790,17
104,104_15,1197,18
104,104_16,1220,18
